YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,BBOX
"2018",CA,CCO,VNC,PEAK,"00094538",2018/11/12,2018/11/14,"9",Unintentional 18-0094538,186.00000000000,182.19600000000,"6","1",,5882.12200856000,737319.23718399997,"Polygon ((-118.66002937 34.26278468, -118.64097496 34.26278468, -118.64097496 34.27707706, -118.66002937 34.27707706, -118.66002937 34.26278468))"
"2018",CA,CCO,VNC,OLSEN,"00049784",2018/06/27,2018/06/28,"14",VCFD Cause undetermin post investig.  18-0049784,29.00000000000,27.95710000000,"1","1",,2043.67505798000,113138.23984200000,"Polygon ((-118.82027833 34.25307531, -118.81463496 34.25307531, -118.81463496 34.25809889, -118.82027833 34.25809889, -118.82027833 34.25307531))"
"2018",CA,CCO,VNC,KNOLL,"0050551",2018/06/30,2018/06/30,"14",Cause under investigation 18-0050551,0.00000000000,0.12932700000,"1","1",,85.55752676640,523.36751355100,"Polygon ((-119.26393404 34.23772749, -119.26362224 34.23772749, -119.26362224 34.23794923, -119.26393404 34.23794923, -119.26393404 34.23772749))"
"2018",CA,CCO,VNC,BRIGGS,"00095960",2018/11/15,2018/11/16,"14",Undetermined 18-0095960,150.00000000000,154.46000000000,"6","1",,4177.17889132000,625078.55337700003,"Polygon ((-119.0959832 34.29510512, -119.08054172 34.29510512, -119.08054172 34.30354284, -119.0959832 34.30354284, -119.0959832 34.29510512))"
"2018",CA,CCO,VNC,BALCOM,"00008020",2018/01/28,2018/01/28,"14",18-0008020,0.00000000000,0.76601400000,"6","1",,204.33987397100,3099.94872618000,"Polygon ((-118.96346943 34.29164934, -118.96275596 34.29164934, -118.96275596 34.29216345, -118.96346943 34.29216345, -118.96346943 34.29164934))"
"2018",CA,CCO,VNC,YOSEMITE,"00075024",2018/09/18,2018/09/18,"14",Undetermined 18-0075024,61.00000000000,60.45640000000,"2","1",,2208.48401508000,244658.45957300000,"Polygon ((-118.69065749 34.3030059, -118.68560421 34.3030059, -118.68560421 34.31015784, -118.69065749 34.31015784, -118.69065749 34.3030059))"
"2018",CA,CCO,VNC,CORONADO,"00045455",2018/06/12,2018/06/12,"14",VCFD Cause undetermin post investig.  18-0045455,3.00000000000,1.85080000000,"6","1",,354.18781834600,7489.93512082000,"Polygon ((-119.06859683 34.36736597, -119.06782972 34.36736597, -119.06782972 34.36864122, -119.06859683 34.36864122, -119.06859683 34.36736597))"
"2018",CA,CCO,VNC,MAIN,"00000852",2018/01/03,2018/01/03,"14",Cause under investigation 18-0000852,0.00000000000,0.03201190000,"6","1",,43.83059635350,129.54767742900,"Polygon ((-119.30570874 34.28401964, -119.30557999 34.28401964, -119.30557999 34.28415815, -119.30570874 34.28415815, -119.30570874 34.28401964))"
"2018",CA,CCO,VNC,HARBOR,"00051011",2018/07/02,2018/07/02,"14",18-0051011,0.00000000000,0.25608500000,"6","1",,131.71099711100,1036.33758870000,"Polygon ((-119.260475 34.23651102, -119.25995331 34.23651102, -119.25995331 34.2367882, -119.260475 34.2367882, -119.260475 34.23651102))"
"2018",CA,CCO,VNC,GUIBERSON,"00013256",2018/02/15,2018/02/15,"9",Unintentional 18-0013256,0.00000000000,0.16792800000,"1","1",,117.84681250700,679.58143503400,"Polygon ((-118.88122614 34.38497166, -118.88071921 34.38497166, -118.88071921 34.38522593, -118.88122614 34.38522593, -118.88122614 34.38497166))"
"2018",CA,CCO,VNC,DUNES,"00055199",2018/07/15,2018/07/15,"14",VCFD Cause undetermin post investig.  18-0055199,0.00000000000,0.00151484000,"6","1",,9.09320987853,6.13033144027,"Polygon ((-119.24438276 34.19849873, -119.2443499 34.19849873, -119.2443499 34.19852091, -119.24438276 34.19852091, -119.24438276 34.19849873))"
"2018",CA,CCO,VNC,STEARNS,"00091457",2018/11/08,2018/11/08,"9",Intentional 18-0091457,0.00000000000,0.22001300000,"6","1",,124.70533870200,890.36177346900,"Polygon ((-118.70094382 34.28113269, -118.70041811 34.28113269, -118.70041811 34.28134102, -118.70094382 34.28134102, -118.70094382 34.28113269))"
"2018",CA,CCO,VNC,LYNN,"00094498",2018/11/12,2018/11/13,"14",Cause under investigation 18-0094498,10.00000000000,10.07960000000,"1","1",,1295.17393906000,40790.49529590000,"Polygon ((-118.91114769 34.18864517, -118.90844769 34.18864517, -118.90844769 34.19161517, -118.91114769 34.19161517, -118.91114769 34.18864517))"
"2018",CA,CCO,VNC,LEMON,"00052451",2018/07/06,2018/07/06,"14",18-0052451,1.00000000000,0.17055900000,"1","1",,102.38689819300,690.22961411000,"Polygon ((-119.05728465 34.34102833, -119.05698707 34.34102833, -119.05698707 34.34139191, -119.05728465 34.34139191, -119.05728465 34.34102833))"
"2018",CA,CCO,VNC,TAPO,"00600308",2018/08/01,2018/08/01,"14",Undetermined 18-0060308,10.00000000000,9.72248000000,"1","1",,1096.21846693000,39345.47598890000,"Polygon ((-118.71824086 34.31362127, -118.7139225 34.31362127, -118.7139225 34.31534041, -118.71824086 34.31534041, -118.71824086 34.31362127))"
"2018",CA,CCO,VNC,HARBOR,"00050282",2018/06/29,2018/06/30,"14",VCFD Cause undetermin post investig.  18-0050282,7.00000000000,7.05040000000,"6","1",,1119.02329056000,28531.95817060000,"Polygon ((-119.26488027 34.23588879, -119.26049754 34.23588879, -119.26049754 34.23791996, -119.26488027 34.23791996, -119.26488027 34.23588879))"
